O*NET-SOC Code	Title	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
15-1252.00	Software Developers	2.A.1.a	Reading Comprehension	IM	4.12	28	0.09	3.94	4.30	N	N	07/2023	Analyst
15-1252.00	Software Developers	2.A.1.b	Active Listening	IM	3.88	28	0.10	3.68	4.08	N	N	07/2023	Analyst
15-1252.00	Software Developers	2.B.1.a	Critical Thinking	IM	4.25	28	0.08	4.09	4.41	N	N	07/2023	Analyst
15-1252.00	Software Developers	2.B.3.b	Complex Problem Solving	IM	4.50	28	0.07	4.36	4.64	N	N	07/2023	Analyst
15-1252.00	Software Developers	2.B.3.e	Programming	IM	4.75	28	0.06	4.63	4.87	N	N	07/2023	Analyst
15-1252.00	Software Developers	2.B.3.d	Systems Analysis	IM	3.95	28	0.10	3.75	4.15	N	N	07/2023	Analyst
15-1252.00	Software Developers	2.B.3.f	Troubleshooting	IM	3.85	28	0.10	3.65	4.05	N	N	07/2023	Analyst
15-1252.00	Software Developers	2.B.2.a	Mathematics	IM	3.20	28	0.12	2.96	3.44	N	N	07/2023	Analyst
15-1211.00	Computer Systems Analysts	2.A.1.a	Reading Comprehension	IM	4.00	24	0.10	3.80	4.20	N	N	07/2023	Analyst
15-1211.00	Computer Systems Analysts	2.B.3.d	Systems Analysis	IM	4.60	24	0.07	4.46	4.74	N	N	07/2023	Analyst
15-1211.00	Computer Systems Analysts	2.B.3.b	Complex Problem Solving	IM	4.30	24	0.08	4.14	4.46	N	N	07/2023	Analyst
15-1211.00	Computer Systems Analysts	2.B.1.a	Critical Thinking	IM	4.10	24	0.09	3.92	4.28	N	N	07/2023	Analyst
15-1211.00	Computer Systems Analysts	2.B.3.e	Programming	IM	3.50	24	0.12	3.26	3.74	N	N	07/2023	Analyst
15-1211.00	Computer Systems Analysts	2.A.2	Active Listening	IM	3.75	24	0.11	3.53	3.97	N	N	07/2023	Analyst
15-2051.00	Data Scientists	2.A.1.a	Reading Comprehension	IM	4.10	22	0.10	3.90	4.30	N	N	07/2023	Analyst
15-2051.00	Data Scientists	2.B.2.a	Mathematics	IM	4.55	22	0.08	4.39	4.71	N	N	07/2023	Analyst
15-2051.00	Data Scientists	2.B.3.e	Programming	IM	4.40	22	0.08	4.24	4.56	N	N	07/2023	Analyst
15-2051.00	Data Scientists	2.B.3.b	Complex Problem Solving	IM	4.40	22	0.08	4.24	4.56	N	N	07/2023	Analyst
15-2051.00	Data Scientists	2.B.1.a	Critical Thinking	IM	4.35	22	0.09	4.17	4.53	N	N	07/2023	Analyst
15-2051.00	Data Scientists	2.B.3.d	Systems Analysis	IM	3.80	22	0.11	3.58	4.02	N	N	07/2023	Analyst
15-2051.00	Data Scientists	2.B.1.b	Judgment and Decision Making	IM	3.95	22	0.10	3.75	4.15	N	N	07/2023	Analyst
11-9041.00	Architectural and Engineering Managers	2.A.1.a	Reading Comprehension	IM	4.00	20	0.11	3.78	4.22	N	N	07/2023	Analyst
11-9041.00	Architectural and Engineering Managers	2.A.1.b	Active Listening	IM	4.12	20	0.10	3.92	4.32	N	N	07/2023	Analyst
11-9041.00	Architectural and Engineering Managers	2.B.1.a	Critical Thinking	IM	4.30	20	0.09	4.12	4.48	N	N	07/2023	Analyst
11-9041.00	Architectural and Engineering Managers	2.B.4.g	Management of Personnel Resources	IM	4.38	20	0.09	4.20	4.56	N	N	07/2023	Analyst
11-9041.00	Architectural and Engineering Managers	2.B.1.b	Judgment and Decision Making	IM	4.25	20	0.09	4.07	4.43	N	N	07/2023	Analyst
11-9041.00	Architectural and Engineering Managers	2.B.3.b	Complex Problem Solving	IM	4.05	20	0.10	3.85	4.25	N	N	07/2023	Analyst
13-1161.00	Market Research Analysts and Marketing Specialists	2.A.1.a	Reading Comprehension	IM	4.05	18	0.11	3.83	4.27	N	N	07/2023	Analyst
13-1161.00	Market Research Analysts and Marketing Specialists	2.B.1.a	Critical Thinking	IM	4.15	18	0.10	3.95	4.35	N	N	07/2023	Analyst
13-1161.00	Market Research Analysts and Marketing Specialists	2.B.3.b	Complex Problem Solving	IM	3.95	18	0.11	3.73	4.17	N	N	07/2023	Analyst
13-1161.00	Market Research Analysts and Marketing Specialists	2.B.2.a	Mathematics	IM	3.50	18	0.12	3.26	3.74	N	N	07/2023	Analyst
13-1161.00	Market Research Analysts and Marketing Specialists	2.A.1.b	Active Listening	IM	3.85	18	0.11	3.63	4.07	N	N	07/2023	Analyst
13-1161.00	Market Research Analysts and Marketing Specialists	2.B.1.b	Judgment and Decision Making	IM	3.75	18	0.12	3.51	3.99	N	N	07/2023	Analyst
